"term","freq","s1","s2","s3","prob"
"be in my",7,"be","in","my",0.0454545454545455
"be interesting to",7,"be","interesting","to",0.466666666666667
"be there to",7,"be","there","to",0.0833333333333333
"be willing to",7,"be","willing","to",1
"because i didn't",7,"because","i","didn't",0.0311111111111111
"because i don't",7,"because","i","don't",0.0311111111111111
"because i dont",7,"because","i","dont",0.0311111111111111
"because i think",7,"because","i","think",0.0311111111111111
"because there was",7,"because","there","was",0.368421052631579
"because they have",7,"because","they","have",0.0921052631578947
"because we were",7,"because","we","were",0.159090909090909
"been a great",7,"been","a","great",0.0486111111111111
"been a long",7,"been","a","long",0.0486111111111111
"been a very",7,"been","a","very",0.0486111111111111
"been going on",7,"been","going","on",0.636363636363636
"before it was",7,"before","it","was",0.291666666666667
"behind the scenes",7,"behind","the","scenes",0.120689655172414
"being in the",7,"being","in","the",0.205882352941176
"being on the",7,"being","on","the",0.7
"best of the",7,"best","of","the",0.120689655172414
"better than a",7,"better","than","a",0.0654205607476635
"birthday to my",7,"birthday","to","my",0.162790697674419
"book in the",7,"book","in","the",0.291666666666667
"but i didnt",7,"but","i","didnt",0.0110062893081761
"but i thought",7,"but","i","thought",0.0110062893081761
"but it just",7,"but","it","just",0.0281124497991968
"but it would",7,"but","it","would",0.0281124497991968
"but we are",7,"but","we","are",0.074468085106383
"but what i",7,"but","what","i",0.137254901960784
"but you know",7,"but","you","know",0.0736842105263158
"by far the",7,"by","far","the",0.538461538461538
"by no means",7,"by","no","means",0.777777777777778
"by other people",7,"by","other","people",0.583333333333333
"cake cake cake",7,"cake","cake","cake",0.777777777777778
"came from the",7,"came","from","the",0.333333333333333
"came to the",7,"came","to","the",0.107692307692308
"can't wait till",7,"can't","wait","till",0.0297872340425532
"can be done",7,"can","be","done",0.023972602739726
"can be seen",7,"can","be","seen",0.023972602739726
"can find a",7,"can","find","a",0.179487179487179
"can find the",7,"can","find","the",0.179487179487179
"can take the",7,"can","take","the",0.166666666666667
"catching up with",7,"catching","up","with",0.304347826086957
"change in the",7,"change","in","the",0.304347826086957
"checking out the",7,"checking","out","the",0.333333333333333
"come see me",7,"come","see","me",0.28
"come to my",7,"come","to","my",0.0476190476190476
"comes out of",7,"comes","out","of",0.233333333333333
"commonwealth act no",7,"commonwealth","act","no",0.777777777777778
"congrats on your",7,"congrats","on","your",0.21875
"count me in",7,"count","me","in",0.875
"course of a",7,"course","of","a",0.269230769230769
"cup of tea",7,"cup","of","tea",0.194444444444444
"day and the",7,"day","and","the",0.0760869565217391
"day for the",7,"day","for","the",0.148936170212766
"day i love",7,"day","i","love",0.0795454545454545
"day of spring",7,"day","of","spring",0.0608695652173913
"day to day",7,"day","to","day",0.0875
"days a week",7,"days","a","week",0.5
"deal with the",7,"deal","with","the",0.127272727272727
"depending on the",7,"depending","on","the",0.4375
"did not like",7,"did","not","like",0.0482758620689655
"difference between a",7,"difference","between","a",0.291666666666667
"do anything to",7,"do","anything","to",0.175
"do i do",7,"do","i","do",0.0564516129032258
"do it again",7,"do","it","again",0.0351758793969849
"do it all",7,"do","it","all",0.0351758793969849
"do it i",7,"do","it","i",0.0351758793969849
"do it on",7,"do","it","on",0.0351758793969849
"do not want",7,"do","not","want",0.0336538461538462
"do the right",7,"do","the","right",0.0707070707070707
"do u have",7,"do","u","have",0.194444444444444
"do what you",7,"do","what","you",0.194444444444444
"do you make",7,"do","you","make",0.0152838427947598
"does anyone know",7,"does","anyone","know",0.466666666666667
"doesn't have to",7,"doesn't","have","to",0.269230769230769
"don't care about",7,"don't","care","about",0.2
"don't get me",7,"don't","get","me",0.155555555555556
"don't get the",7,"don't","get","the",0.155555555555556
"don't have any",7,"don't","have","any",0.0625
"don't know where",7,"don't","know","where",0.0460526315789474
"don't let the",7,"don't","let","the",0.205882352941176
"don't think so",7,"don't","think","so",0.0875
"dont know how",7,"dont","know","how",0.0823529411764706
"dont know why",7,"dont","know","why",0.0823529411764706
"each other and",7,"each","other","and",0.0666666666666667
"else in the",7,"else","in","the",0.583333333333333
"end of a",7,"end","of","a",0.0429447852760736
"end up with",7,"end","up","with",0.114754098360656
"enough to make",7,"enough","to","make",0.0608695652173913
"even if the",7,"even","if","the",0.0813953488372093
"every day i",7,"every","day","i",0.0958904109589041
"every once in",7,"every","once","in",1
"everyone have a",7,"everyone","have","a",0.875
"exactly the same",7,"exactly","the","same",0.583333333333333
"excited to get",7,"excited","to","get",0.0660377358490566
"facebook and twitter",7,"facebook","and","twitter",0.368421052631579
"far as the",7,"far","as","the",0.194444444444444
"favorite thing to",7,"favorite","thing","to",0.7
"feel like it",7,"feel","like","it",0.0419161676646707
"feel like they",7,"feel","like","they",0.0419161676646707
"felt like a",7,"felt","like","a",0.184210526315789
"few years ago",7,"few","years","ago",0.194444444444444
"find the time",7,"find","the","time",0.114754098360656
"first and foremost",7,"first","and","foremost",0.225806451612903
"for a minute",7,"for","a","minute",0.0070778564206269
"for a quick",7,"for","a","quick",0.0070778564206269
"for a small",7,"for","a","small",0.0070778564206269
"for a visit",7,"for","a","visit",0.0070778564206269
"for his birthday",7,"for","his","birthday",0.0736842105263158
"for making a",7,"for","making","a",0.162790697674419
"for me today",7,"for","me","today",0.0180412371134021
"for my birthday",7,"for","my","birthday",0.0284552845528455
"for over a",7,"for","over","a",0.269230769230769
"for people to",7,"for","people","to",0.25
"for people who",7,"for","people","who",0.25
"for such a",7,"for","such","a",0.466666666666667
"for the good",7,"for","the","good",0.0035732516590097
"for the kind",7,"for","the","kind",0.0035732516590097
"for the show",7,"for","the","show",0.0035732516590097
"for their own",7,"for","their","own",0.0853658536585366
"for this year",7,"for","this","year",0.0376344086021505
"for what you",7,"for","what","you",0.2
"for you guys",7,"for","you","guys",0.0259259259259259
"for you if",7,"for","you","if",0.0259259259259259
"found out that",7,"found","out","that",0.162790697674419
"friend and i",7,"friend","and","i",0.259259259259259
"from across the",7,"from","across","the",1
"from the top",7,"from","the","top",0.00850546780072904
"gearing up for",7,"gearing","up","for",0.636363636363636
"get a free",7,"get","a","free",0.0305676855895196
"get back into",7,"get","back","into",0.127272727272727
"get enough of",7,"get","enough","of",0.388888888888889
"get in touch",7,"get","in","touch",0.111111111111111
"get it done",7,"get","it","done",0.0551181102362205
"get off my",7,"get","off","my",0.225806451612903
"get out the",7,"get","out","the",0.116666666666667
"getting a little",7,"getting","a","little",0.109375
"give him a",7,"give","him","a",0.4375
"glad you liked",7,"glad","you","liked",0.114754098360656
"go check out",7,"go","check","out",0.636363636363636
"go with the",7,"go","with","the",0.184210526315789
"goal is to",7,"goal","is","to",0.777777777777778
"going on and",7,"going","on","and",0.0630630630630631
"going to a",7,"going","to","a",0.008
"going to come",7,"going","to","come",0.008
"going to look",7,"going","to","look",0.008
"going to win",7,"going","to","win",0.008
"gonna have to",7,"gonna","have","to",0.5
"good for the",7,"good","for","the",0.148936170212766
"good luck to",7,"good","luck","to",0.0833333333333333
"got a little",7,"got","a","little",0.0386740331491713
"great to meet",7,"great","to","meet",0.14
"grew up in",7,"grew","up","in",0.28
"had a big",7,"had","a","big",0.0160183066361556
"had a lovely",7,"had","a","lovely",0.0160183066361556
"had a nice",7,"had","a","nice",0.0160183066361556
"had an awesome",7,"had","an","awesome",0.145833333333333
"had nothing to",7,"had","nothing","to",0.875
"had such a",7,"had","such","a",0.7
"had to have",7,"had","to","have",0.0245614035087719
"had to say",7,"had","to","say",0.0245614035087719
"happened to be",7,"happened","to","be",0.116666666666667
"happy to say",7,"happy","to","say",0.0853658536585366
"happy to see",7,"happy","to","see",0.0853658536585366
"hard to get",7,"hard","to","get",0.0642201834862385
"has a very",7,"has","a","very",0.0325581395348837
"has got to",7,"has","got","to",0.466666666666667
"has never been",7,"has","never","been",0.388888888888889
"has the best",7,"has","the","best",0.0886075949367089
"have a big",7,"have","a","big",0.00769230769230769
"have a fun",7,"have","a","fun",0.00769230769230769
"have a special",7,"have","a","special",0.00769230769230769
"have all the",7,"have","all","the",0.259259259259259
"have done a",7,"have","done","a",0.159090909090909
"have nothing to",7,"have","nothing","to",0.388888888888889
"have so much",7,"have","so","much",0.318181818181818
"have the time",7,"have","the","time",0.0318181818181818
"have to give",7,"have","to","give",0.0101156069364162
"have to learn",7,"have","to","learn",0.0101156069364162
"have to live",7,"have","to","live",0.0101156069364162
"have to try",7,"have","to","try",0.0101156069364162
"having a good",7,"having","a","good",0.0542635658914729
"having a great",7,"having","a","great",0.0542635658914729
"he's going to",7,"he's","going","to",0.7
"he can do",7,"he","can","do",0.134615384615385
"he has the",7,"he","has","the",0.0573770491803279
"he is so",7,"he","is","so",0.0275590551181102
"he said i",7,"he","said","i",0.0482758620689655
"he said it",7,"he","said","it",0.0482758620689655
"he would be",7,"he","would","be",0.11864406779661
"her in the",7,"her","in","the",0.291666666666667
"her to the",7,"her","to","the",0.0972222222222222
"here are some",7,"here","are","some",0.132075471698113
"him but he",7,"him","but","he",0.259259259259259
"him that i",7,"him","that","i",0.269230769230769
"him to be",7,"him","to","be",0.0777777777777778
"his or her",7,"his","or","her",1
"home in the",7,"home","in","the",0.304347826086957
"hope i can",7,"hope","i","can",0.259259259259259
"hope to be",7,"hope","to","be",0.0736842105263158
"hope you can",7,"hope","you","can",0.0376344086021505
"hope you get",7,"hope","you","get",0.0376344086021505
"hours of the",7,"hours","of","the",0.148936170212766
"how's it going",7,"how's","it","going",0.583333333333333
"how can i",7,"how","can","i",0.14
"how easy it",7,"how","easy","it",0.875
"hurry up and",7,"hurry","up","and",0.636363636363636
"i'll give you",7,"i'll","give","you",0.636363636363636
"i'm at the",7,"i'm","at","the",0.291666666666667
"i'm working on",7,"i'm","working","on",0.538461538461538
"i've been to",7,"i've","been","to",0.0510948905109489
"i've got a",7,"i've","got","a",0.155555555555556
"i added the",7,"i","added","the",0.259259259259259
"i am always",7,"i","am","always",0.00648148148148148
"i am and",7,"i","am","and",0.00648148148148148
"i am doing",7,"i","am","doing",0.00648148148148148
"i am excited",7,"i","am","excited",0.00648148148148148
"i am glad",7,"i","am","glad",0.00648148148148148
"i am grateful",7,"i","am","grateful",0.00648148148148148
"i am i",7,"i","am","i",0.00648148148148148
"i am sorry",7,"i","am","sorry",0.00648148148148148
"i am thankful",7,"i","am","thankful",0.00648148148148148
"i bet you",7,"i","bet","you",0.14
"i came across",7,"i","came","across",0.159090909090909
"i came home",7,"i","came","home",0.159090909090909
"i came up",7,"i","came","up",0.159090909090909
"i can't imagine",7,"i","can't","imagine",0.0249110320284698
"i can't sleep",7,"i","can't","sleep",0.0249110320284698
"i can't stop",7,"i","can't","stop",0.0249110320284698
"i can feel",7,"i","can","feel",0.0117056856187291
"i can have",7,"i","can","have",0.0117056856187291
"i can still",7,"i","can","still",0.0117056856187291
"i come back",7,"i","come","back",0.194444444444444
"i could get",7,"i","could","get",0.0233333333333333
"i could go",7,"i","could","go",0.0233333333333333
"i could make",7,"i","could","make",0.0233333333333333
"i could never",7,"i","could","never",0.0233333333333333
"i do hope",7,"i","do","hope",0.025
"i don't do",7,"i","don't","do",0.0126582278481013
"i don't mind",7,"i","don't","mind",0.0126582278481013
"i don't understand",7,"i","don't","understand",0.0126582278481013
"i feel a",7,"i","feel","a",0.0249110320284698
"i get back",7,"i","get","back",0.0307017543859649
"i get the",7,"i","get","the",0.0307017543859649
"i got home",7,"i","got","home",0.0238907849829352
"i got some",7,"i","got","some",0.0238907849829352
"i guess it",7,"i","guess","it",0.04
"i had some",7,"i","had","some",0.0131086142322097
"i had this",7,"i","had","this",0.0131086142322097
"i hate my",7,"i","hate","my",0.0460526315789474
"i have learned",7,"i","have","learned",0.00611888111888112
"i have some",7,"i","have","some",0.00611888111888112
"i have something",7,"i","have","something",0.00611888111888112
"i have such",7,"i","have","such",0.00611888111888112
"i have this",7,"i","have","this",0.00611888111888112
"i have two",7,"i","have","two",0.00611888111888112
"i haven't seen",7,"i","haven't","seen",0.0933333333333333
"i havent been",7,"i","havent","been",0.25
"i hear the",7,"i","hear","the",0.12280701754386
"i hope it",7,"i","hope","it",0.0249110320284698
"i hope u",7,"i","hope","u",0.0249110320284698
"i just realized",7,"i","just","realized",0.0132575757575758
"i just think",7,"i","just","think",0.0132575757575758
"i just wish",7,"i","just","wish",0.0132575757575758
"i know a",7,"i","know","a",0.0136986301369863
"i know this",7,"i","know","this",0.0136986301369863
"i look like",7,"i","look","like",0.11864406779661
"i love being",7,"i","love","being",0.0097629009762901
"i loved it",7,"i","loved","it",0.125
"i may or",7,"i","may","or",0.0945945945945946
"i miss your",7,"i","miss","your",0.0573770491803279
"i must have",7,"i","must","have",0.132075471698113
"i noticed that",7,"i","noticed","that",0.333333333333333
"i put it",7,"i","put","it",0.155555555555556
"i read it",7,"i","read","it",0.120689655172414
"i received a",7,"i","received","a",0.368421052631579
"i see it",7,"i","see","it",0.0522388059701493
"i still don't",7,"i","still","don't",0.0503597122302158
"i still haven't",7,"i","still","haven't",0.0503597122302158
"i suck at",7,"i","suck","at",0.777777777777778
"i tell you",7,"i","tell","you",0.259259259259259
"i thought they",7,"i","thought","they",0.0282258064516129
"i thought this",7,"i","thought","this",0.0282258064516129
"i want one",7,"i","want","one",0.0184210526315789
"i want the",7,"i","want","the",0.0184210526315789
"i was about",7,"i","was","about",0.00622775800711744
"i was actually",7,"i","was","actually",0.00622775800711744
"i was always",7,"i","was","always",0.00622775800711744
"i was given",7,"i","was","given",0.00622775800711744
"i was having",7,"i","was","having",0.00622775800711744
"i was supposed",7,"i","was","supposed",0.00622775800711744
"i was wrong",7,"i","was","wrong",0.00622775800711744
"i will do",7,"i","will","do",0.0159453302961276
"i will tell",7,"i","will","tell",0.0159453302961276
"i wonder how",7,"i","wonder","how",0.0897435897435897
"i wonder who",7,"i","wonder","who",0.0897435897435897
"i wouldn't be",7,"i","wouldn't","be",0.205882352941176
"idea for a",7,"idea","for","a",0.466666666666667
"if anyone else",7,"if","anyone","else",0.184210526315789
"if i want",7,"if","i","want",0.0175879396984925
"if there was",7,"if","there","was",0.166666666666667
"if they dont",7,"if","they","dont",0.0457516339869281
"if you're not",7,"if","you're","not",0.0666666666666667
"if you ask",7,"if","you","ask",0.00760043431053203
"if you make",7,"if","you","make",0.00760043431053203
"if you still",7,"if","you","still",0.00760043431053203
"if you take",7,"if","you","take",0.00760043431053203
"if you will",7,"if","you","will",0.00760043431053203
"if you wish",7,"if","you","wish",0.00760043431053203
"if youre a",7,"if","youre","a",0.21875
"in a car",7,"in","a","car",0.00657894736842105
"in a day",7,"in","a","day",0.00657894736842105
"in a little",7,"in","a","little",0.00657894736842105
"in a more",7,"in","a","more",0.00657894736842105
"in a room",7,"in","a","room",0.00657894736842105
"in a time",7,"in","a","time",0.00657894736842105
"in accordance with",7,"in","accordance","with",1
"in and the",7,"in","and","the",0.0518518518518519
"in contact with",7,"in","contact","with",0.636363636363636
"in fact the",7,"in","fact","the",0.0660377358490566
"in favor of",7,"in","favor","of",1
"in it i",7,"in","it","i",0.0875
"in los angeles",7,"in","los","angeles",1
"in my car",7,"in","my","car",0.0119047619047619
"in my office",7,"in","my","office",0.0119047619047619
"in no way",7,"in","no","way",0.28
"in our hearts",7,"in","our","hearts",0.0362694300518135
"in response to",7,"in","response","to",0.583333333333333
"in san diego",7,"in","san","diego",0.304347826086957
"in some way",7,"in","some","way",0.11864406779661
"in st louis",7,"in","st","louis",0.5
"in the 's",7,"in","the","'s",0.001829587036069
"in the audience",7,"in","the","audience",0.001829587036069
"in the beginning",7,"in","the","beginning",0.001829587036069
"in the field",7,"in","the","field",0.001829587036069
"in the front",7,"in","the","front",0.001829587036069
"in the garden",7,"in","the","garden",0.001829587036069
"in the movie",7,"in","the","movie",0.001829587036069
"in the nba",7,"in","the","nba",0.001829587036069
"in the series",7,"in","the","series",0.001829587036069
"in the universe",7,"in","the","universe",0.001829587036069
"in this post",7,"in","this","post",0.026615969581749
"in time to",7,"in","time","to",0.148936170212766
"in two weeks",7,"in","two","weeks",0.269230769230769
"in washington dc",7,"in","washington","dc",0.388888888888889
"in your heart",7,"in","your","heart",0.0321100917431193
"interesting to see",7,"interesting","to","see",0.35
"is a better",7,"is","a","better",0.00618921308576481
"is a must",7,"is","a","must",0.00618921308576481
"is a pretty",7,"is","a","pretty",0.00618921308576481
"is about a",7,"is","about","a",0.112903225806452
"is all the",7,"is","all","the",0.0958904109589041
"is at least",7,"is","at","least",0.12280701754386
"is expected to",7,"is","expected","to",0.875
"is in a",7,"is","in","a",0.0404624277456647
"is it bad",7,"is","it","bad",0.0366492146596859
"is it is",7,"is","it","is",0.0366492146596859
"is it just",7,"is","it","just",0.0366492146596859
"is just the",7,"is","just","the",0.0514705882352941
"is not going",7,"is","not","going",0.0177664974619289
"is now a",7,"is","now","a",0.0823529411764706
"is perfect for",7,"is","perfect","for",0.466666666666667
"is really the",7,"is","really","the",0.106060606060606
"is responsible for",7,"is","responsible","for",1
"is similar to",7,"is","similar","to",0.875
"is so cute",7,"is","so","cute",0.0429447852760736
"is that we",7,"is","that","we",0.0238095238095238
"is that what",7,"is","that","what",0.0238095238095238
"is the day",7,"is","the","day",0.00831353919239905
"is the fact",7,"is","the","fact",0.00831353919239905
"is there any",7,"is","there","any",0.0909090909090909
"is to make",7,"is","to","make",0.0362694300518135
"is very important",7,"is","very","important",0.0864197530864197
"is what we",7,"is","what","we",0.0648148148148148
"it's a beautiful",7,"it's","a","beautiful",0.0353535353535354
"it's funny how",7,"it's","funny","how",0.538461538461538
"it's good to",7,"it's","good","to",0.777777777777778
"it's not even",7,"it's","not","even",0.0569105691056911
"it a good",7,"it","a","good",0.0673076923076923
"it at all",7,"it","at","all",0.166666666666667
"it bad that",7,"it","bad","that",0.875
"it but it",7,"it","but","it",0.0714285714285714
"it came to",7,"it","came","to",0.291666666666667
"it difficult to",7,"it","difficult","to",0.7
"it felt like",7,"it","felt","like",0.35
"it for a",7,"it","for","a",0.0693069306930693
"it from the",7,"it","from","the",0.259259259259259
"it hard to",7,"it","hard","to",0.777777777777778
"it i will",7,"it","i","will",0.0451612903225806
"it is always",7,"it","is","always",0.00698602794411178
"it is but",7,"it","is","but",0.00698602794411178
"it is easy",7,"it","is","easy",0.00698602794411178
"it is on",7,"it","is","on",0.00698602794411178
"it is one",7,"it","is","one",0.00698602794411178
"it is only",7,"it","is","only",0.00698602794411178
"it is so",7,"it","is","so",0.00698602794411178
"it like a",7,"it","like","a",0.318181818181818
"it may have",7,"it","may","have",0.148936170212766
"it needs to",7,"it","needs","to",0.636363636363636
"it on my",7,"it","on","my",0.0625
"it out in",7,"it","out","in",0.0457516339869281
"it out of",7,"it","out","of",0.0457516339869281
"it take to",7,"it","take","to",0.466666666666667
"it takes a",7,"it","takes","a",0.132075471698113
"it that way",7,"it","that","way",0.14
"it to my",7,"it","to","my",0.0321100917431193
"it to you",7,"it","to","you",0.0321100917431193
"it up on",7,"it","up","on",0.053030303030303
"it was amazing",7,"it","was","amazing",0.00638686131386861
"it was funny",7,"it","was","funny",0.00638686131386861
"it was indeed",7,"it","was","indeed",0.00638686131386861
"it was like",7,"it","was","like",0.00638686131386861
"it was no",7,"it","was","no",0.00638686131386861
"it was only",7,"it","was","only",0.00638686131386861
"it was too",7,"it","was","too",0.00638686131386861
"it with a",7,"it","with","a",0.0833333333333333
"its a great",7,"its","a","great",0.0660377358490566
"its important to",7,"its","important","to",0.7
"its not the",7,"its","not","the",0.0648148148148148
"just because i",7,"just","because","i",0.189189189189189
"just happened to",7,"just","happened","to",0.636363636363636
"just have a",7,"just","have","a",0.155555555555556
"just in the",7,"just","in","the",0.14
"just let me",7,"just","let","me",0.466666666666667
"just the way",7,"just","the","way",0.134615384615385
"know a lot",7,"know","a","lot",0.318181818181818
"know exactly what",7,"know","exactly","what",0.7
"know i was",7,"know","i","was",0.0614035087719298
"know i will",7,"know","i","will",0.0614035087719298
"know if it",7,"know","if","it",0.0729166666666667
"know the difference",7,"know","the","difference",0.0804597701149425
"know what that",7,"know","what","that",0.0355329949238579
"know when i",7,"know","when","i",0.233333333333333
"last few days",7,"last","few","days",0.225806451612903
"last week and",7,"last","week","and",0.0666666666666667
"last year i",7,"last","year","i",0.0679611650485437
"learned how to",7,"learned","how","to",1
"led me to",7,"led","me","to",0.875
"less than two",7,"less","than","two",0.0853658536585366
"let me down",7,"let","me","down",0.0348258706467662
"let me get",7,"let","me","get",0.0348258706467662
"let me tell",7,"let","me","tell",0.0348258706467662
"let them know",7,"let","them","know",0.269230769230769
"like a man",7,"like","a","man",0.0167865707434053
"like the idea",7,"like","the","idea",0.0276679841897233
"like the one",7,"like","the","one",0.0276679841897233
"like to share",7,"like","to","share",0.026615969581749
"like to talk",7,"like","to","talk",0.026615969581749
"like to thank",7,"like","to","thank",0.026615969581749
"list of things",7,"list","of","things",0.12280701754386
"listen to it",7,"listen","to","it",0.07
"look at some",7,"look","at","some",0.0372340425531915
"look at you",7,"look","at","you",0.0372340425531915
"looking back at",7,"looking","back","at",0.411764705882353
"looking for some",7,"looking","for","some",0.0454545454545455
"looks like it",7,"looks","like","it",0.0551181102362205
"looks like the",7,"looks","like","the",0.0551181102362205
"lot of things",7,"lot","of","things",0.0249110320284698
"lots of people",7,"lots","of","people",0.0434782608695652
"love a good",7,"love","a","good",0.291666666666667
"love is a",7,"love","is","a",0.21875
"love love love",7,"love","love","love",0.466666666666667
"love of my",7,"love","of","my",0.411764705882353
"love to chat",7,"love","to","chat",0.0391061452513966
"love with the",7,"love","with","the",0.125
"love you and",7,"love","you","and",0.0284552845528455
"lunch at the",7,"lunch","at","the",0.411764705882353
"made up of",7,"made","up","of",0.28
"made with a",7,"made","with","a",0.304347826086957
"make a wish",7,"make","a","wish",0.0344827586206897
"make fun of",7,"make","fun","of",1
"make me feel",7,"make","me","feel",0.0853658536585366
"make me laugh",7,"make","me","laugh",0.0853658536585366
"make the best",7,"make","the","best",0.0666666666666667
"makes me think",7,"makes","me","think",0.0660377358490566
"matter how hard",7,"matter","how","hard",0.21875
"matter of fact",7,"matter","of","fact",0.25
"may want to",7,"may","want","to",0.7
"me and the",7,"me","and","the",0.0316742081447964
"me how to",7,"me","how","to",0.179487179487179
"me in my",7,"me","in","my",0.0625
"me know how",7,"me","know","how",0.0721649484536082
"me know what",7,"me","know","what",0.0721649484536082
"me on this",7,"me","on","this",0.0853658536585366
"me tell you",7,"me","tell","you",0.777777777777778
"me that he",7,"me","that","he",0.0578512396694215
"me that the",7,"me","that","the",0.0578512396694215
"me with a",7,"me","with","a",0.14
"mean the world",7,"mean","the","world",0.4375
"might have a",7,"might","have","a",0.111111111111111
"millions of dollars",7,"millions","of","dollars",0.291666666666667
"miss you guys",7,"miss","you","guys",0.0777777777777778
"more than ever",7,"more","than","ever",0.024822695035461
"more than that",7,"more","than","that",0.024822695035461
"most of us",7,"most","of","us",0.0419161676646707
"most of you",7,"most","of","you",0.0419161676646707
"much so that",7,"much","so","that",0.583333333333333
"my eyes and",7,"my","eyes","and",0.132075471698113
"my favorite things",7,"my","favorite","things",0.0429447852760736
"my hands on",7,"my","hands","on",0.233333333333333
"my new followers",7,"my","new","followers",0.0786516853932584
"my wife and",7,"my","wife","and",0.28
"need to see",7,"need","to","see",0.0127970749542962
"new year everyone",7,"new","year","everyone",0.111111111111111
"new years eve",7,"new","years","eve",0.368421052631579
"night at the",7,"night","at","the",0.205882352941176
"no i didn't",7,"no","i","didn't",0.148936170212766
"no matter where",7,"no","matter","where",0.0736842105263158
"no one wants",7,"no","one","wants",0.0457516339869281
"none of them",7,"none","of","them",0.148936170212766
"not a single",7,"not","a","single",0.0294117647058824
"not about the",7,"not","about","the",0.368421052631579
"not allowed to",7,"not","allowed","to",0.777777777777778
"not even a",7,"not","even","a",0.0897435897435897
"not have a",7,"not","have","a",0.0833333333333333
"not much of",7,"not","much","of",0.225806451612903
"not on the",7,"not","on","the",0.304347826086957
"not only did",7,"not","only","did",0.0648148148148148
"not trying to",7,"not","trying","to",1
"not used to",7,"not","used","to",0.7
"note to self",7,"note","to","self",0.538461538461538
"now but i",7,"now","but","i",0.212121212121212
"now i want",7,"now","i","want",0.0395480225988701
"now we have",7,"now","we","have",0.233333333333333
"of a book",7,"of","a","book",0.0101302460202605
"of a man",7,"of","a","man",0.0101302460202605
"of any kind",7,"of","any","kind",0.148936170212766
"of course she",7,"of","course","she",0.0247349823321555
"of course you",7,"of","course","you",0.0247349823321555
"of god and",7,"of","god","and",0.127272727272727
"of it all",7,"of","it","all",0.0344827586206897
"of it as",7,"of","it","as",0.0344827586206897
"of it the",7,"of","it","the",0.0344827586206897
"of it was",7,"of","it","was",0.0344827586206897
"of my all",7,"of","my","all",0.010752688172043
"of my favourite",7,"of","my","favourite",0.010752688172043
"of my followers",7,"of","my","followers",0.010752688172043
"of my heart",7,"of","my","heart",0.010752688172043
"of my work",7,"of","my","work",0.010752688172043
"of new jersey",7,"of","new","jersey",0.125
"of our own",7,"of","our","own",0.0296610169491525
"of the band",7,"of","the","band",0.00179625352835515
"of the family",7,"of","the","family",0.00179625352835515
"of the national",7,"of","the","national",0.00179625352835515
"of the original",7,"of","the","original",0.00179625352835515
"of the party",7,"of","the","party",0.00179625352835515
"of the previous",7,"of","the","previous",0.00179625352835515
"of the work",7,"of","the","work",0.00179625352835515
"of them are",7,"of","them","are",0.0404624277456647
"of things i",7,"of","things","i",0.137254901960784
"of this world",7,"of","this","world",0.0257352941176471
"of those days",7,"of","those","days",0.0424242424242424
"of time and",7,"of","time","and",0.0823529411764706
"of us who",7,"of","us","who",0.0492957746478873
"of what we",7,"of","what","we",0.0555555555555556
"of your work",7,"of","your","work",0.0288065843621399
"on behalf of",7,"on","behalf","of",1
"on both sides",7,"on","both","sides",0.333333333333333
"on its own",7,"on","its","own",0.212121212121212
"on my list",7,"on","my","list",0.0154525386313466
"on my to",7,"on","my","to",0.0154525386313466
"on one of",7,"on","one","of",0.179487179487179
"on the blog",7,"on","the","blog",0.00348432055749129
"on the inside",7,"on","the","inside",0.00348432055749129
"on the one",7,"on","the","one",0.00348432055749129
"on the set",7,"on","the","set",0.00348432055749129
"on the site",7,"on","the","site",0.00348432055749129
"on the south",7,"on","the","south",0.00348432055749129
"on this day",7,"on","this","day",0.0358974358974359
"on this planet",7,"on","this","planet",0.0358974358974359
"on twitter and",7,"on","twitter","and",0.0666666666666667
"on your own",7,"on","your","own",0.0432098765432099
"one and only",7,"one","and","only",0.148936170212766
"one day at",7,"one","day","at",0.0786516853932584
"one of a",7,"one","of","a",0.00893997445721584
"one of their",7,"one","of","their",0.00893997445721584
"one thing that",7,"one","thing","that",0.120689655172414
"or any other",7,"or","any","other",0.35
"or are you",7,"or","are","you",0.368421052631579
"or not to",7,"or","not","to",0.0886075949367089
"or so i",7,"or","so","i",0.111111111111111
"or you can",7,"or","you","can",0.233333333333333
"other in the",7,"other","in","the",0.583333333333333
"other than that",7,"other","than","that",0.12280701754386
"other than the",7,"other","than","the",0.12280701754386
"our new followers",7,"our","new","followers",0.14
"our way to",7,"our","way","to",0.304347826086957
"out in a",7,"out","in","a",0.0736842105263158
"out of control",7,"out","of","control",0.0123022847100176
"out of me",7,"out","of","me",0.0123022847100176
"out of state",7,"out","of","state",0.0123022847100176
"out of their",7,"out","of","their",0.0123022847100176
"out our new",7,"out","our","new",0.175
"out there in",7,"out","there","in",0.0518518518518519
"over by a",7,"over","by","a",0.583333333333333
"over for the",7,"over","for","the",0.318181818181818
"over the next",7,"over","the","next",0.0255474452554745
"part of me",7,"part","of","me",0.0245614035087719
"part of their",7,"part","of","their",0.0245614035087719
"pay for the",7,"pay","for","the",0.25
"people do not",7,"people","do","not",0.4375
"person in the",7,"person","in","the",0.388888888888889
"picked up a",7,"picked","up","a",0.166666666666667
"playing in the",7,"playing","in","the",0.583333333333333
"point in the",7,"point","in","the",0.291666666666667
