"term","freq","s1","s2","s3","prob"
"come back with",9,"come","back","with",0.0323741007194245
"come by the",9,"come","by","the",0.140625
"come in to",9,"come","in","to",0.0471204188481675
"comes back to",9,"comes","back","to",0.375
"comes in the",9,"comes","in","the",0.136363636363636
"coming back for",9,"coming","back","for",0.0865384615384615
"coming to a",9,"coming","to","a",0.0337078651685393
"comment on this",9,"comment","on","this",0.105882352941176
"consider it a",9,"consider","it","a",0.225
"contact us for",9,"contact","us","for",0.25
"continue to do",9,"continue","to","do",0.03125
"contract with the",9,"contract","with","the",0.473684210526316
"contributed to this",9,"contributed","to","this",0.409090909090909
"cost of the",9,"cost","of","the",0.125
"could be wrong",9,"could","be","wrong",0.0150753768844221
"could have used",9,"could","have","used",0.0264705882352941
"could lead to",9,"could","lead","to",0.9
"couldn't do it",9,"couldn't","do","it",0.6
"couldn't find the",9,"couldn't","find","the",0.290322580645161
"couldnt help but",9,"couldnt","help","but",0.6
"count me in",9,"count","me","in",0.9
"couple of minutes",9,"couple","of","minutes",0.0150753768844221
"court of justice",9,"court","of","justice",0.3
"crazy but here's",9,"crazy","but","here's",0.25
"create your own",9,"create","your","own",0.473684210526316
"created by the",9,"created","by","the",0.236842105263158
"creator of the",9,"creator","of","the",0.473684210526316
"criticism of the",9,"criticism","of","the",0.473684210526316
"cup of water",9,"cup","of","water",0.0633802816901408
"cuz i was",9,"cuz","i","was",0.140625
"dakota snowmobile trail",9,"dakota","snowmobile","trail",1
"dancing in the",9,"dancing","in","the",0.391304347826087
"dare you to",9,"dare","you","to",0.5
"day after day",9,"day","after","day",0.123287671232877
"day and a",9,"day","and","a",0.0265486725663717
"day and then",9,"day","and","then",0.0265486725663717
"day here in",9,"day","here","in",0.346153846153846
"day i would",9,"day","i","would",0.0252100840336134
"day it is",9,"day","it","is",0.140625
"day this is",9,"day","this","is",0.230769230769231
"day we are",9,"day","we","are",0.0989010989010989
"days and i",9,"days","and","i",0.0857142857142857
"days before the",9,"days","before","the",0.257142857142857
"days when i",9,"days","when","i",0.25
"decided to leave",9,"decided","to","leave",0.0165441176470588
"declaration of independence",9,"declaration","of","independence",0.818181818181818
"deep in the",9,"deep","in","the",0.428571428571429
"definitely want to",9,"definitely","want","to",0.9
"design of the",9,"design","of","the",0.428571428571429
"details of the",9,"details","of","the",0.204545454545455
"details on the",9,"details","on","the",0.272727272727273
"details to come",9,"details","to","come",0.321428571428571
"did a lot",9,"did","a","lot",0.0494505494505494
"did and i",9,"did","and","i",0.140625
"did it and",9,"did","it","and",0.0420560747663551
"did u do",9,"did","u","do",0.09
"didn't do anything",9,"didn't","do","anything",0.1875
"didn't know it",9,"didn't","know","it",0.0559006211180124
"didn't realize how",9,"didn't","realize","how",0.236842105263158
"died in the",9,"died","in","the",0.236842105263158
"dm me if",9,"dm","me","if",0.0818181818181818
"do all of",9,"do","all","of",0.147540983606557
"do do do",9,"do","do","do",0.346153846153846
"do for my",9,"do","for","my",0.0756302521008403
"do have the",9,"do","have","the",0.0756302521008403
"do i always",9,"do","i","always",0.0185567010309278
"do i just",9,"do","i","just",0.0185567010309278
"do is to",9,"do","is","to",0.05
"do it up",9,"do","it","up",0.0114649681528662
"do it without",9,"do","it","without",0.0114649681528662
"do it yourself",9,"do","it","yourself",0.0114649681528662
"do my hair",9,"do","my","hair",0.0857142857142857
"do not do",9,"do","not","do",0.0114068441064639
"do not take",9,"do","not","take",0.0114068441064639
"do some work",9,"do","some","work",0.0775862068965517
"do u want",9,"do","u","want",0.0616438356164384
"do we know",9,"do","we","know",0.0466321243523316
"do you expect",9,"do","you","expect",0.0048780487804878
"do you go",9,"do","you","go",0.0048780487804878
"do you just",9,"do","you","just",0.0048780487804878
"do you plan",9,"do","you","plan",0.0048780487804878
"doesn't look like",9,"doesn't","look","like",0.391304347826087
"doing something right",9,"doing","something","right",0.132352941176471
"don't call me",9,"don't","call","me",0.45
"don't even remember",9,"don't","even","remember",0.0476190476190476
"don't follow me",9,"don't","follow","me",0.391304347826087
"don't forget that",9,"don't","forget","that",0.0422535211267606
"don't get to",9,"don't","get","to",0.0409090909090909
"don't get why",9,"don't","get","why",0.0409090909090909
"don't have enough",9,"don't","have","enough",0.0188284518828452
"don't judge me",9,"don't","judge","me",0.36
"don't take it",9,"don't","take","it",0.195652173913043
"don't think it",9,"don't","think","it",0.0296052631578947
"don't think they",9,"don't","think","they",0.0296052631578947
"don't want the",9,"don't","want","the",0.0260115606936416
"done with this",9,"done","with","this",0.0652173913043478
"dont do that",9,"dont","do","that",0.243243243243243
"dont give a",9,"dont","give","a",0.692307692307692
"dont have any",9,"dont","have","any",0.0447761194029851
"dont have time",9,"dont","have","time",0.0447761194029851
"dont like to",9,"dont","like","to",0.0891089108910891
"down a little",9,"down","a","little",0.0865384615384615
"down but i",9,"down","but","i",0.25
"down memory lane",9,"down","memory","lane",1
"down the stairs",9,"down","the","stairs",0.0189473684210526
"down to it",9,"down","to","it",0.0218978102189781
"drive to the",9,"drive","to","the",0.18
"due to his",9,"due","to","his",0.0218978102189781
"during that time",9,"during","that","time",0.346153846153846
"each of you",9,"each","of","you",0.0569620253164557
"each other to",9,"each","other","to",0.0198675496688742
"each time i",9,"each","time","i",0.209302325581395
"east of the",9,"east","of","the",0.473684210526316
"easy way to",9,"easy","way","to",0.692307692307692
"either that or",9,"either","that","or",0.75
"email it to",9,"email","it","to",0.75
"email us at",9,"email","us","at",0.391304347826087
"empire state building",9,"empire","state","building",0.6
"ended up having",9,"ended","up","having",0.0532544378698225
"enough for the",9,"enough","for","the",0.0782608695652174
"enough to know",9,"enough","to","know",0.0181818181818182
"especially for the",9,"especially","for","the",0.272727272727273
"especially if it",9,"especially","if","it",0.160714285714286
"especially since i",9,"especially","since","i",0.236842105263158
"especially with the",9,"especially","with","the",0.290322580645161
"even as a",9,"even","as","a",0.230769230769231
"even if that",9,"even","if","that",0.0237467018469657
"even know if",9,"even","know","if",0.0661764705882353
"even know who",9,"even","know","who",0.0661764705882353
"even see the",9,"even","see","the",0.375
"even when the",9,"even","when","the",0.0681818181818182
"events such as",9,"events","such","as",1
"ever been in",9,"ever","been","in",0.111111111111111
"every other day",9,"every","other","day",0.121621621621622
"every time he",9,"every","time","he",0.032258064516129
"every time they",9,"every","time","they",0.032258064516129
"everyone that came",9,"everyone","that","came",0.225
"everyone who is",9,"everyone","who","is",0.0731707317073171
"excited about this",9,"excited","about","this",0.0548780487804878
"excited i am",9,"excited","i","am",0.257142857142857
"exist in the",9,"exist","in","the",0.346153846153846
"expect from a",9,"expect","from","a",0.391304347826087
"expect me to",9,"expect","me","to",1
"expect you to",9,"expect","you","to",0.9
"experience for me",9,"experience","for","me",0.272727272727273
"experience of the",9,"experience","of","the",0.18
"eye of the",9,"eye","of","the",0.473684210526316
"fact i have",9,"fact","i","have",0.140625
"fact that i'm",9,"fact","that","i'm",0.0177865612648221
"fall out of",9,"fall","out","of",0.6
"far too many",9,"far","too","many",0.173076923076923
"far too much",9,"far","too","much",0.173076923076923
"father was a",9,"father","was","a",0.346153846153846
"favorite things to",9,"favorite","things","to",0.321428571428571
"feel about it",9,"feel","about","it",0.163636363636364
"feel like going",9,"feel","like","going",0.0133333333333333
"feel like it's",9,"feel","like","it's",0.0133333333333333
"feel like my",9,"feel","like","my",0.0133333333333333
"feel like shit",9,"feel","like","shit",0.0133333333333333
"feel like you're",9,"feel","like","you're",0.0133333333333333
"feel so good",9,"feel","so","good",0.0782608695652174
"feel that i",9,"feel","that","i",0.09
"feel that way",9,"feel","that","way",0.09
"feel the love",9,"feel","the","love",0.0514285714285714
"feeling when you",9,"feeling","when","you",0.428571428571429
"feels like the",9,"feels","like","the",0.0548780487804878
"fell out of",9,"fell","out","of",0.692307692307692
"felt as if",9,"felt","as","if",0.428571428571429
"few days later",9,"few","days","later",0.0403587443946188
"figure out a",9,"figure","out","a",0.0422535211267606
"figured out that",9,"figured","out","that",0.155172413793103
"fill it with",9,"fill","it","with",0.473684210526316
"finally got a",9,"finally","got","a",0.0927835051546392
"find out where",9,"find","out","where",0.0296052631578947
"find someone to",9,"find","someone","to",0.264705882352941
"find someone who",9,"find","someone","who",0.264705882352941
"find the time",9,"find","the","time",0.0436893203883495
"finished with a",9,"finished","with","a",0.290322580645161
"first came to",9,"first","came","to",0.642857142857143
"first day at",9,"first","day","at",0.0671641791044776
"first half of",9,"first","half","of",0.236842105263158
"first of many",9,"first","of","many",0.103448275862069
"first thing that",9,"first","thing","that",0.121621621621622
"five or six",9,"five","or","six",0.692307692307692
"flavor of the",9,"flavor","of","the",0.5
"flour baking powder",9,"flour","baking","powder",0.818181818181818
"follow looking forward",9,"follow","looking","forward",1
"follow me d",9,"follow","me","d",0.0122116689280868
"follow she is",9,"follow","she","is",0.346153846153846
"follow us and",9,"follow","us","and",0.0978260869565217
"followed you back",9,"followed","you","back",0.310344827586207
"food for the",9,"food","for","the",0.18
"for a child",9,"for","a","child",0.00227732793522267
"for a different",9,"for","a","different",0.00227732793522267
"for a friend",9,"for","a","friend",0.00227732793522267
"for a girl",9,"for","a","girl",0.00227732793522267
"for a man",9,"for","a","man",0.00227732793522267
"for a time",9,"for","a","time",0.00227732793522267
"for a trip",9,"for","a","trip",0.00227732793522267
"for a whole",9,"for","a","whole",0.00227732793522267
"for another great",9,"for","another","great",0.0489130434782609
"for any of",9,"for","any","of",0.072
"for anyone to",9,"for","anyone","to",0.12
"for being an",9,"for","being","an",0.0441176470588235
"for days and",9,"for","days","and",0.09375
"for everyone to",9,"for","everyone","to",0.0775862068965517
"for following and",9,"for","following","and",0.0304054054054054
"for good reason",9,"for","good","reason",0.102272727272727
"for happy hour",9,"for","happy","hour",0.75
"for helping me",9,"for","helping","me",0.163636363636364
"for in a",9,"for","in","a",0.123287671232877
"for it but",9,"for","it","but",0.0196936542669584
"for it is",9,"for","it","is",0.0196936542669584
"for just one",9,"for","just","one",0.125
"for many people",9,"for","many","people",0.0833333333333333
"for me today",9,"for","me","today",0.0061770761839396
"for minutes at",9,"for","minutes","at",0.0676691729323308
"for months and",9,"for","months","and",0.191489361702128
"for my husband",9,"for","my","husband",0.0087378640776699
"for my son",9,"for","my","son",0.0087378640776699
"for our next",9,"for","our","next",0.0179640718562874
"for our show",9,"for","our","show",0.0179640718562874
"for something that",9,"for","something","that",0.0681818181818182
"for the afternoon",9,"for","the","afternoon",0.00111759592698373
"for the benefit",9,"for","the","benefit",0.00111759592698373
"for the blog",9,"for","the","blog",0.00111759592698373
"for the challenge",9,"for","the","challenge",0.00111759592698373
"for the city",9,"for","the","city",0.00111759592698373
"for the delay",9,"for","the","delay",0.00111759592698373
"for the inspiration",9,"for","the","inspiration",0.00111759592698373
"for the ladies",9,"for","the","ladies",0.00111759592698373
"for the late",9,"for","the","late",0.00111759592698373
"for the recommendation",9,"for","the","recommendation",0.00111759592698373
"for the state",9,"for","the","state",0.00111759592698373
"for the video",9,"for","the","video",0.00111759592698373
"for the work",9,"for","the","work",0.00111759592698373
"for them i",9,"for","them","i",0.0284810126582278
"for this i",9,"for","this","i",0.0115830115830116
"for this weeks",9,"for","this","weeks",0.0115830115830116
"for those that",9,"for","those","that",0.0264705882352941
"for today i",9,"for","today","i",0.0967741935483871
"for too long",9,"for","too","long",0.692307692307692
"for trying to",9,"for","trying","to",0.529411764705882
"for two hours",9,"for","two","hours",0.072
"for years the",9,"for","years","the",0.0347490347490347
"for you at",9,"for","you","at",0.00866217516843118
"for you so",9,"for","you","so",0.00866217516843118
"form of the",9,"form","of","the",0.0520231213872832
"forward to being",9,"forward","to","being",0.0095440084835631
"forward to catching",9,"forward","to","catching",0.0095440084835631
"forward to that",9,"forward","to","that",0.0095440084835631
"found a few",9,"found","a","few",0.0489130434782609
"found a great",9,"found","a","great",0.0489130434782609
"found out the",9,"found","out","the",0.0508474576271186
"frame of mind",9,"frame","of","mind",0.75
"friends to follow",9,"friends","to","follow",0.147540983606557
"from any of",9,"from","any","of",0.290322580645161
"from being a",9,"from","being","a",0.138461538461538
"from me i",9,"from","me","i",0.0555555555555556
"from my first",9,"from","my","first",0.0206896551724138
"from out of",9,"from","out","of",0.75
"from pm pm",9,"from","pm","pm",0.087378640776699
"from the 's",9,"from","the","'s",0.0027666769136182
"from the lord",9,"from","the","lord",0.0027666769136182
"from the moment",9,"from","the","moment",0.0027666769136182
"from the original",9,"from","the","original",0.0027666769136182
"from the show",9,"from","the","show",0.0027666769136182
"from the state",9,"from","the","state",0.0027666769136182
"from the university",9,"from","the","university",0.0027666769136182
"from the west",9,"from","the","west",0.0027666769136182
"fruits and vegetables",9,"fruits","and","vegetables",0.5
"fuck up and",9,"fuck","up","and",0.191489361702128
"full of shit",9,"full","of","shit",0.0226130653266332
"fun to read",9,"fun","to","read",0.0608108108108108
"funny as hell",9,"funny","as","hell",0.473684210526316
"game and i",9,"game","and","i",0.1
"game and the",9,"game","and","the",0.1
"game at the",9,"game","at","the",0.219512195121951
"games in the",9,"games","in","the",0.272727272727273
"gave me my",9,"gave","me","my",0.0494505494505494
"george bernard shaw",9,"george","bernard","shaw",1
"get closer to",9,"get","closer","to",0.75
"get in my",9,"get","in","my",0.0386266094420601
"get is a",9,"get","is","a",0.6
"get it all",9,"get","it","all",0.0176125244618395
"get it and",9,"get","it","and",0.0176125244618395
"get lost in",9,"get","lost","in",0.346153846153846
"get off your",9,"get","off","your",0.076271186440678
"get over the",9,"get","over","the",0.136363636363636
"get paid to",9,"get","paid","to",0.195652173913043
"get people to",9,"get","people","to",0.529411764705882
"get some rest",9,"get","some","rest",0.0386266094420601
"get to followers",9,"get","to","followers",0.0126404494382022
"get to watch",9,"get","to","watch",0.0126404494382022
"get up at",9,"get","up","at",0.0625
"get up to",9,"get","up","to",0.0625
"get your tickets",9,"get","your","tickets",0.03515625
"getting around to",9,"getting","around","to",0.9
"girl at the",9,"girl","at","the",0.428571428571429
"girl with a",9,"girl","with","a",0.257142857142857
"give you some",9,"give","you","some",0.0333333333333333
"gives it a",9,"gives","it","a",0.6
"giving it a",9,"giving","it","a",0.321428571428571
"go back in",9,"go","back","in",0.0340909090909091
"go check it",9,"go","check","it",0.243243243243243
"go home to",9,"go","home","to",0.0697674418604651
"go in and",9,"go","in","and",0.105882352941176
"go over to",9,"go","over","to",0.195652173913043
"go through with",9,"go","through","with",0.0782608695652174
"god i am",9,"god","i","am",0.0891089108910891
"god is a",9,"god","is","a",0.0529411764705882
"goes around comes",9,"goes","around","comes",0.6
"goes like this",9,"goes","like","this",0.9
"going back and",9,"going","back","and",0.0918367346938776
"going for it",9,"going","for","it",0.115384615384615
"going on for",9,"going","on","for",0.0196506550218341
"going out to",9,"going","out","to",0.123287671232877
"going through a",9,"going","through","a",0.0882352941176471
"going to church",9,"going","to","church",0.00251326445127059
"going to explode",9,"going","to","explode",0.00251326445127059
"going to lose",9,"going","to","lose",0.00251326445127059
"going to send",9,"going","to","send",0.00251326445127059
"gonna be on",9,"gonna","be","on",0.0231362467866324
"good at all",9,"good","at","all",0.0927835051546392
"good for my",9,"good","for","my",0.0418604651162791
"good for them",9,"good","for","them",0.0418604651162791
"good luck at",9,"good","luck","at",0.0221130221130221
"good morning all",9,"good","morning","all",0.0177865612648221
"good morning happy",9,"good","morning","happy",0.0177865612648221
"good night twitter",9,"good","night","twitter",0.0687022900763359
"good old days",9,"good","old","days",0.243243243243243
"good right now",9,"good","right","now",0.529411764705882
"good seeing you",9,"good","seeing","you",0.818181818181818
"good so far",9,"good","so","far",0.333333333333333
"good to get",9,"good","to","get",0.0251396648044693
"got a big",9,"got","a","big",0.0128388017118402
"got a bit",9,"got","a","bit",0.0128388017118402
"got a chance",9,"got","a","chance",0.0128388017118402
"got a twitter",9,"got","a","twitter",0.0128388017118402
"got an email",9,"got","an","email",0.134328358208955
"got in a",9,"got","in","a",0.140625
"great addition to",9,"great","addition","to",1
"great day at",9,"great","day","at",0.0327272727272727
"great start to",9,"great","start","to",0.45
"great time in",9,"great","time","in",0.0489130434782609
"great to connect",9,"great","to","connect",0.0347490347490347
"grocery store and",9,"grocery","store","and",0.118421052631579
"growing number of",9,"growing","number","of",1
"guess i just",9,"guess","i","just",0.0548780487804878
"guy in a",9,"guy","in","a",0.166666666666667
"guy with a",9,"guy","with","a",0.310344827586207
"guys are the",9,"guys","are","the",0.0642857142857143
"guys are too",9,"guys","are","too",0.0642857142857143
"had a huge",9,"had","a","huge",0.00490998363338789
"had a small",9,"had","a","small",0.00490998363338789
"had a twitter",9,"had","a","twitter",0.00490998363338789
"had been made",9,"had","been","made",0.0171102661596958
"had been on",9,"had","been","on",0.0171102661596958
"had been so",9,"had","been","so",0.0171102661596958
"had never heard",9,"had","never","heard",0.132352941176471
"had plenty of",9,"had","plenty","of",0.9
"had to buy",9,"had","to","buy",0.00851466414380322
"had to call",9,"had","to","call",0.00851466414380322
"had to give",9,"had","to","give",0.00851466414380322
"had to run",9,"had","to","run",0.00851466414380322
"haha i was",9,"haha","i","was",0.0620689655172414
"hand in hand",9,"hand","in","hand",0.264705882352941
"hands of the",9,"hands","of","the",0.204545454545455
"hang of it",9,"hang","of","it",0.5625
"happened to us",9,"happened","to","us",0.045
"happiness is a",9,"happiness","is","a",0.225
"happy founders day",9,"happy","founders","day",1
"happy thanksgiving everyone",9,"happy","thanksgiving","everyone",0.128571428571429
"happy to share",9,"happy","to","share",0.0263157894736842
"happy with how",9,"happy","with","how",0.0857142857142857
"hard to imagine",9,"hard","to","imagine",0.0178571428571429
"has anyone seen",9,"has","anyone","seen",0.204545454545455
"has been working",9,"has","been","working",0.0057618437900128
"has done a",9,"has","done","a",0.12
"has ever been",9,"has","ever","been",0.157894736842105
"has given us",9,"has","given","us",0.25
"has happened in",9,"has","happened","in",0.183673469387755
"has in store",9,"has","in","store",0.36
"has long been",9,"has","long","been",0.391304347826087
"has made a",9,"has","made","a",0.1
"has one of",9,"has","one","of",0.310344827586207
"has the ability",9,"has","the","ability",0.0340909090909091
"has to take",9,"has","to","take",0.0228426395939086
"has written a",9,"has","written","a",0.391304347826087
"hate that i",9,"hate","that","i",0.18
"hate when my",9,"hate","when","my",0.0803571428571429
"hats off to",9,"hats","off","to",1
"have a car",9,"have","a","car",0.00251959686450168
"have a day",9,"have","a","day",0.00251959686450168
"have a fantastic",9,"have","a","fantastic",0.00251959686450168
"have a free",9,"have","a","free",0.00251959686450168
"have a pretty",9,"have","a","pretty",0.00251959686450168
"have a year",9,"have","a","year",0.00251959686450168
"have already been",9,"have","already","been",0.105882352941176
"have always loved",9,"have","always","loved",0.0882352941176471
"have been done",9,"have","been","done",0.00491266375545852
"have been waiting",9,"have","been","waiting",0.00491266375545852
"have ever been",9,"have","ever","been",0.0833333333333333
"have i been",9,"have","i","been",0.0841121495327103
"have in mind",9,"have","in","mind",0.09375
"have loved to",9,"have","loved","to",0.36
"have made me",9,"have","made","me",0.0612244897959184
"have made the",9,"have","made","the",0.0612244897959184
"have managed to",9,"have","managed","to",1
"have not had",9,"have","not","had",0.0514285714285714
"have only one",9,"have","only","one",0.160714285714286
"have received a",9,"have","received","a",0.25
"have thought of",9,"have","thought","of",0.18
"have to agree",9,"have","to","agree",0.00327272727272727
"have to choose",9,"have","to","choose",0.00327272727272727
"have to follow",9,"have","to","follow",0.00327272727272727
"have to know",9,"have","to","know",0.00327272727272727
"have to meet",9,"have","to","meet",0.00327272727272727
"have to wear",9,"have","to","wear",0.00327272727272727
"have won the",9,"have","won","the",0.3
"have you had",9,"have","you","had",0.0153061224489796
"have you made",9,"have","you","made",0.0153061224489796
"have you on",9,"have","you","on",0.0153061224489796
"having a little",9,"having","a","little",0.0162454873646209
"he did it",9,"he","did","it",0.0439024390243902
"he did the",9,"he","did","the",0.0439024390243902
"he got the",9,"he","got","the",0.0652173913043478
"he had an",9,"he","had","an",0.0196078431372549
"he has never",9,"he","has","never",0.0162454873646209
"he is being",9,"he","is","being",0.00891089108910891
"he loves to",9,"he","loves","to",0.142857142857143
"he made his",9,"he","made","his",0.132352941176471
"he made it",9,"he","made","it",0.132352941176471
"he might have",9,"he","might","have",0.169811320754717
"he needed to",9,"he","needed","to",0.45
"he says that",9,"he","says","that",0.0629370629370629
"he tells me",9,"he","tells","me",0.310344827586207
"he told the",9,"he","told","the",0.101123595505618
"he told us",9,"he","told","us",0.101123595505618
"he tries to",9,"he","tries","to",0.9
"he was right",9,"he","was","right",0.00663227708179808
"he was trying",9,"he","was","trying",0.00663227708179808
"he will make",9,"he","will","make",0.036734693877551
"he will not",9,"he","will","not",0.036734693877551
"he would never",9,"he","would","never",0.03515625
"head on over",9,"head","on","over",0.183673469387755
"heard good things",9,"heard","good","things",0.818181818181818
"heat in the",9,"heat","in","the",0.5
"held at the",9,"held","at","the",0.333333333333333
"help but think",9,"help","but","think",0.0947368421052632
"help us spread",9,"help","us","spread",0.0818181818181818
"help you to",9,"help","you","to",0.0436893203883495
"her back to",9,"her","back","to",0.183673469387755
"her because she",9,"her","because","she",0.5
"her it was",9,"her","it","was",0.321428571428571
"her mother and",9,"her","mother","and",0.138461538461538
"here i go",9,"here","i","go",0.0424528301886792
"here on twitter",9,"here","on","twitter",0.087378640776699
"here you can",9,"here","you","can",0.214285714285714
"hey are you",9,"hey","are","you",0.9
"hey i love",9,"hey","i","love",0.0833333333333333
"high school students",9,"high","school","students",0.0247933884297521
"him for his",9,"him","for","his",0.115384615384615
"him to do",9,"him","to","do",0.0249307479224377
"him to go",9,"him","to","go",0.0249307479224377
"him to tell",9,"him","to","tell",0.0249307479224377
"him up and",9,"him","up","and",0.155172413793103
"him with a",9,"him","with","a",0.155172413793103
"his best friend",9,"his","best","friend",0.1875
"his book the",9,"his","book","the",0.290322580645161
"his life he",9,"his","life","he",0.0708661417322835
"hit in the",9,"hit","in","the",0.473684210526316
"hit the ground",9,"hit","the","ground",0.0414746543778802
"holding on to",9,"holding","on","to",0.75
"hope everything is",9,"hope","everything","is",0.473684210526316
"hope it works",9,"hope","it","works",0.0857142857142857
"hope that it",9,"hope","that","it",0.0520231213872832
"hopefully it will",9,"hopefully","it","will",0.428571428571429
"hour on the",9,"hour","on","the",0.473684210526316
"hour or two",9,"hour","or","two",0.28125
"hours to go",9,"hours","to","go",0.125
"house and the",9,"house","and","the",0.0661764705882353
"how could they",9,"how","could","they",0.113924050632911
"how does one",9,"how","does","one",0.0967741935483871
"how is this",9,"how","is","this",0.0612244897959184
"how it would",9,"how","it","would",0.037037037037037
"how long have",9,"how","long","have",0.0580645161290323
"how long you",9,"how","long","you",0.0580645161290323
"how many days",9,"how","many","days",0.0217917675544794
"how much longer",9,"how","much","longer",0.0158450704225352
"how much money",9,"how","much","money",0.0158450704225352
"how old r",9,"how","old","r",0.191489361702128
"how to fix",9,"how","to","fix",0.00863723608445298
"how to love",9,"how","to","love",0.00863723608445298
"how to spell",9,"how","to","spell",0.00863723608445298
"however in the",9,"however","in","the",0.45
"huge thanks to",9,"huge","thanks","to",0.75
"i'd be happy",9,"i'd","be","happy",0.0849056603773585
"i'll be your",9,"i'll","be","your",0.0178217821782178
"i'll do it",9,"i'll","do","it",0.191489361702128
"i'll have another",9,"i'll","have","another",0.0782608695652174
"i'll make sure",9,"i'll","make","sure",0.25
"i'm a sucker",9,"i'm","a","sucker",0.0245231607629428
"i'm back on",9,"i'm","back","on",0.128571428571429
"i'm back to",9,"i'm","back","to",0.128571428571429
"i'm excited for",9,"i'm","excited","for",0.134328358208955
"i'm glad we",9,"i'm","glad","we",0.0687022900763359
"i'm grateful for",9,"i'm","grateful","for",0.5
"i'm here for",9,"i'm","here","for",0.160714285714286
"i'm not in",9,"i'm","not","in",0.00986842105263158
"i'm not on",9,"i'm","not","on",0.00986842105263158
"i'm not so",9,"i'm","not","so",0.00986842105263158
"i'm not trying",9,"i'm","not","trying",0.00986842105263158
"i'm planning on",9,"i'm","planning","on",0.5625
"i'm so bored",9,"i'm","so","bored",0.0205479452054795
"i'm still a",9,"i'm","still","a",0.0456852791878173
"i'm tired and",9,"i'm","tired","and",0.173076923076923
"i'm willing to",9,"i'm","willing","to",1
"i've come to",9,"i've","come","to",0.45
"i agreed to",9,"i","agreed","to",0.6
"i also need",9,"i","also","need",0.0211764705882353
"i am already",9,"i","am","already",0.00201838977349181
"i am curious",9,"i","am","curious",0.00201838977349181
"i am enjoying",9,"i","am","enjoying",0.00201838977349181
"i am good",9,"i","am","good",0.00201838977349181
"i am learning",9,"i","am","learning",0.00201838977349181
"i am my",9,"i","am","my",0.00201838977349181
"i am sharing",9,"i","am","sharing",0.00201838977349181
"i am supposed",9,"i","am","supposed",0.00201838977349181
"i ate a",9,"i","ate","a",0.166666666666667
"i believe he",9,"i","believe","he",0.0269461077844311
"i better be",9,"i","better","be",0.209302325581395
"i call him",9,"i","call","him",0.0918367346938776
"i can't have",9,"i","can't","have",0.00776531492666091
"i can always",9,"i","can","always",0.00401785714285714
"i can call",9,"i","can","call",0.00401785714285714
"i can follow",9,"i","can","follow",0.00401785714285714
"i can look",9,"i","can","look",0.00401785714285714
"i can put",9,"i","can","put",0.00401785714285714
"i can share",9,"i","can","share",0.00401785714285714
"i cant remember",9,"i","cant","remember",0.0222222222222222
"i cant stand",9,"i","cant","stand",0.0222222222222222
"i checked out",9,"i","checked","out",0.236842105263158
"i chose the",9,"i","chose","the",0.126760563380282
"i come home",9,"i","come","home",0.0743801652892562
"i could hear",9,"i","could","hear",0.00725806451612903
"i could listen",9,"i","could","listen",0.00725806451612903
"i could only",9,"i","could","only",0.00725806451612903
"i could probably",9,"i","could","probably",0.00725806451612903
"i could write",9,"i","could","write",0.00725806451612903
"i couldn't even",9,"i","couldn't","even",0.0445544554455446
"i cut my",9,"i","cut","my",0.132352941176471
"i decided not",9,"i","decided","not",0.0279503105590062
"i did but",9,"i","did","but",0.0100558659217877
"i did see",9,"i","did","see",0.0100558659217877
"i didn't go",9,"i","didn't","go",0.0120160213618158
"i didnt get",9,"i","didnt","get",0.0252808988764045
"i do remember",9,"i","do","remember",0.00779220779220779
"i don't blame",9,"i","don't","blame",0.00397702165267344
"i don't own",9,"i","don't","own",0.00397702165267344
"i don't usually",9,"i","don't","usually",0.00397702165267344
"i dont do",9,"i","dont","do",0.00964630225080386
"i dont remember",9,"i","dont","remember",0.00964630225080386
"i dream of",9,"i","dream","of",0.391304347826087
"i expect that",9,"i","expect","that",0.173076923076923
"i feel as",9,"i","feel","as",0.0084348641049672
"i feel ya",9,"i","feel","ya",0.0084348641049672
"i figured out",9,"i","figured","out",0.0891089108910891
"i finally decided",9,"i","finally","decided",0.0608108108108108
"i firmly believe",9,"i","firmly","believe",1
"i first started",9,"i","first","started",0.09
"i found an",9,"i","found","an",0.0216346153846154
"i get off",9,"i","get","off",0.00986842105263158
"i get out",9,"i","get","out",0.00986842105263158
"i give it",9,"i","give","it",0.09375
"i go home",9,"i","go","home",0.032967032967033
"i got for",9,"i","got","for",0.00760777683854607
"i got off",9,"i","got","off",0.00760777683854607
"i got out",9,"i","got","out",0.00760777683854607
"i had all",9,"i","had","all",0.00409090909090909
"i had always",9,"i","had","always",0.00409090909090909
"i had known",9,"i","had","known",0.00409090909090909
"i happen to",9,"i","happen","to",1
"i have lots",9,"i","have","lots",0.00196420776953296
"i have on",9,"i","have","on",0.00196420776953296
"i have recently",9,"i","have","recently",0.00196420776953296
"i have said",9,"i","have","said",0.00196420776953296
"i have started",9,"i","have","started",0.00196420776953296
"i have worked",9,"i","have","worked",0.00196420776953296
"i have you",9,"i","have","you",0.00196420776953296
"i haven't gotten",9,"i","haven't","gotten",0.0259365994236311
"i haven't heard",9,"i","haven't","heard",0.0259365994236311
"i haven't posted",9,"i","haven't","posted",0.0259365994236311
"i just figured",9,"i","just","figured",0.00431034482758621
"i just learned",9,"i","just","learned",0.00431034482758621
